iter	Poisson
173	0.2513280345
174	0.2513189899
175	0.2512987787
176	0.2512782536
177	0.2512585038
178	0.2512389547
179	0.2512275688
180	0.2512073056
181	0.2511996206
182	0.2511774516
183	0.251161899
184	0.2511591004
185	0.2511408598
186	0.2511263377
187	0.2511148996
188	0.2511062446
189	0.2510972591
190	0.2510883788
191	0.2510737151
192	0.2510655673
193	0.2510478924
194	0.2510456964
195	0.2510380457
196	0.2510175111
197	0.2509946149
198	0.2509781813
199	0.2509738496
200	0.2509653156
201	0.2509603769
202	0.2509360051
203	0.2509166231
204	0.2509015752
205	0.2508793869
206	0.2508685891
207	0.2508644238
208	0.2508568303
209	0.2508498708
210	0.2508394861
211	0.2508277214
212	0.2508176801
213	0.2508126401
214	0.2508060617
215	0.2508013503
216	0.2507868522
217	0.2507675721
218	0.2507576743
219	0.2507513432
220	0.2507434488
221	0.2507317768
222	0.2507210808
223	0.2507131208
224	0.2506938828
225	0.2506870206
226	0.2506791435
227	0.2506718388
228	0.2506598275
229	0.250639145
230	0.2506211033
231	0.2506137905
232	0.2506074275
233	0.2505962564
234	0.2505725141
235	0.2505660228
236	0.2505588417
237	0.2505541044
238	0.2505491471
239	0.2505359718
240	0.2505333508
241	0.2505204836
242	0.2505061433
243	0.2504946975
244	0.250479203
245	0.2504730605
246	0.250459155
247	0.2504501686
248	0.2504358096
249	0.2504273365
250	0.2504077042
251	0.2503960646
252	0.250381969
253	0.2503738048
254	0.2503700015
255	0.2503608405
256	0.2503565798
257	0.2503418951
258	0.2503287666
259	0.25032004
260	0.2503028321
261	0.2502947333
262	0.2502887296
263	0.2502763112
264	0.2502642031
265	0.2502523461
266	0.2502483742
267	0.2502418969
268	0.2502322698
269	0.2502230037
270	0.2502163561
271	0.2502074057
272	0.2501965385
273	0.2501890471
274	0.2501809613
275	0.2501694815
276	0.250165882
277	0.2501535549
278	0.2501356473
279	0.2501288864
280	0.2501106857
281	0.2501033677
282	0.2500977123
283	0.2500881312
284	0.2500836251
285	0.2500757732
286	0.2500698157
287	0.2500646348
288	0.2500508439
289	0.2500394937
290	0.2500325574
291	0.2500215934
292	0.2500175384
293	0.2500113952
294	0.2500058113
295	0.2499968199
296	0.2499846962
297	0.2499730766
298	0.2499686139
299	0.2499631608
300	0.2499594374
301	0.2499534977
302	0.2499511027
303	0.2499407638
304	0.2499284683
305	0.2499170536
306	0.2499103344
307	0.2499013713
308	0.2498986043
309	0.2498903418
310	0.2498851281
311	0.2498794421
312	0.2498727959
313	0.2498682843
314	0.2498598207
315	0.2498452931
316	0.2498325432
317	0.2498294316
318	0.2498246772
319	0.2498154644
320	0.2498060781
321	0.2497988417
322	0.2497915284
323	0.2497873027
324	0.2497818017
325	0.2497722974
326	0.2497612017
327	0.2497473413
328	0.249733733
329	0.2497259131
330	0.2497170713
331	0.2497026788
332	0.2496975749
333	0.2496933966
334	0.2496842175
335	0.2496799589
336	0.2496731772
337	0.2496700248
338	0.2496660034
339	0.2496519462
340	0.2496456652
341	0.2496424651
342	0.2496355743
343	0.2496306798
344	0.2496195564
345	0.2496089207
346	0.2496077605
347	0.2495966727
348	0.2495855806
349	0.2495763181
350	0.2495645631
351	0.249556675
352	0.2495481948
353	0.2495481661
354	0.2495456618
355	0.2495424839
356	0.2495312907
357	0.2495160184
358	0.2495078743
359	0.2495001428
360	0.2494965724
361	0.2494891749
362	0.2494803166
363	0.2494688266
364	0.2494641342
365	0.2494548118
366	0.2494513086
367	0.2494460641
368	0.2494407146
369	0.2494376537
370	0.2494293038
371	0.2494267399
372	0.2494214777
373	0.2494160315
374	0.2494065771
375	0.2493989806
376	0.2493850642
377	0.2493790671
378	0.2493681706
379	0.249365746
380	0.2493568621
381	0.2493517711
382	0.2493456449
383	0.2493409902
384	0.2493323962
385	0.2493297842
386	0.2493211643
387	0.2493176809
388	0.2493145512
389	0.2493097611
390	0.2492967361
391	0.2492917107
392	0.2492884502
393	0.2492819655
394	0.2492748332
395	0.2492722022
396	0.2492665184
397	0.2492628969
398	0.2492574327
399	0.2492483731
400	0.2492438066
401	0.2492353245
402	0.2492281149
403	0.2492175845
404	0.2492061302
405	0.2491985805
406	0.2491959823
407	0.2491896886
408	0.249185593
409	0.2491807992
410	0.2491734218
411	0.2491673238
412	0.2491640158
413	0.2491571366
414	0.2491500177
415	0.2491472553
416	0.2491427075
417	0.2491380207
418	0.2491334293
419	0.2491300167
420	0.2491209928
421	0.2491175367
422	0.2491122737
423	0.2491076048
424	0.2491024939
425	0.2490981015
426	0.2490866934
427	0.2490741622
428	0.2490566496
429	0.249052433
430	0.2490493782
431	0.2490337703
432	0.2490298325
433	0.2490271948
434	0.2490184413
435	0.2490142246
436	0.2490046372
437	0.2489938855
438	0.2489901625
439	0.248988217
440	0.2489804842
441	0.2489752043
442	0.2489660851
443	0.248962818
444	0.2489551955
445	0.2489477339
446	0.2489413271
447	0.2489265643
448	0.2489209529
449	0.2489174542
450	0.2489126225
451	0.2489096343
452	0.2489036505
453	0.2488964179
454	0.2488927056
455	0.2488872021
456	0.2488730927
457	0.2488593608
458	0.2488560849
459	0.2488496959
460	0.2488365263
461	0.2488329388
462	0.2488252777
463	0.2488184711
464	0.2488160393
465	0.2488044834
466	0.2487961057
467	0.2487937011
468	0.2487910188
469	0.2487823204
470	0.248772164
471	0.2487581716
472	0.2487439419
473	0.2487344877
474	0.2487290869
475	0.2487208686
476	0.2487136107
477	0.2487085385
478	0.2487045286
479	0.2486995401
480	0.2486960994
481	0.2486928119
482	0.2486882006
483	0.2486813362
484	0.2486793844
485	0.2486722209
486	0.2486675321
487	0.248664232
488	0.2486519907
489	0.248642189
490	0.2486339374
491	0.2486306616
492	0.2486278526
493	0.2486209708
494	0.2486141333
495	0.2486118065
496	0.2486065002
497	0.248602556
498	0.248596368
499	0.2485899492
500	0.2485870925
501	0.2485809121
502	0.2485766653
503	0.2485722263
504	0.2485607299
505	0.2485557426
506	0.2485474214
507	0.2485433565
508	0.2485397125
509	0.2485345172
510	0.2485330291
511	0.2485223233
512	0.2485178319
513	0.2485123241
514	0.2485076672
515	0.2485028216
516	0.2484985526
517	0.2484921901
518	0.2484822741
519	0.2484778391
520	0.2484742701
521	0.2484634505
522	0.2484592093
523	0.2484530383
524	0.24844669
525	0.2484385194
526	0.2484348151
527	0.2484268755
528	0.2484242823
529	0.2484187464
530	0.2484153956
531	0.2484052474
532	0.2484008241
533	0.248389389
534	0.2483834709
535	0.2483793951
536	0.2483707198
537	0.2483662555
538	0.2483604482
539	0.2483528299
540	0.2483473258
541	0.2483448614
542	0.2483332968
543	0.2483261543
544	0.248320931
545	0.2483084718
546	0.2482995716
547	0.2482946726
548	0.2482913035
549	0.2482885547
550	0.2482847343
551	0.2482759346
552	0.2482708333
553	0.2482665867
554	0.248263335
555	0.2482545766
556	0.2482488429
557	0.2482399444
558	0.2482353579
559	0.2482297038
560	0.2482246302
561	0.2482221498
562	0.2482181531
563	0.2482147331
564	0.2482093971
565	0.2482035688
566	0.2481981914
567	0.2481896491
568	0.2481872223
569	0.2481817934
570	0.2481787107
571	0.2481744121
572	0.248169469
573	0.2481657609
574	0.2481562283
575	0.2481499705
576	0.2481416053
577	0.2481352278
578	0.2481311183
579	0.248126068
580	0.2481204468
581	0.2481167302
582	0.2481120853
583	0.2481072506
584	0.2481033315
585	0.2480947596
586	0.2480896516
587	0.2480823927
588	0.2480775482
589	0.2480753514
590	0.2480730415
591	0.24807043
592	0.2480666092
593	0.2480612037
594	0.248054303
595	0.2480454361
596	0.2480363679
597	0.2480282478
598	0.2480189086
599	0.248015013
600	0.2480112811
601	0.2480072898
602	0.2480051984
603	0.2480000379
604	0.2479952538
605	0.2479915713
606	0.2479882334
607	0.2479827594
608	0.2479755243
609	0.2479721406
610	0.2479665271
611	0.2479629874
612	0.2479578531
613	0.2479545229
614	0.2479501688
615	0.2479449013
616	0.2479422209
617	0.2479400403
618	0.247935163
619	0.2479268685
620	0.247923172
621	0.2479126703
622	0.2479101408
623	0.2479033426
624	0.2478956119
625	0.2478912193
626	0.2478880458
627	0.2478804532
628	0.2478753191
629	0.2478723633
630	0.247864053
631	0.2478591074
632	0.2478551536
633	0.2478532336
634	0.24784625
635	0.2478424725
636	0.2478364296
637	0.2478324385
638	0.2478268086
639	0.247815494
640	0.2478116205
641	0.2478084789
642	0.2478037716
643	0.2478004099
644	0.2477952369
645	0.247784562
646	0.2477810113
647	0.2477761259
648	0.2477683021
649	0.2477646339
650	0.247759857
651	0.2477547465
652	0.2477515314
653	0.2477493703
654	0.2477420563
655	0.2477387863
656	0.2477351555
657	0.2477316453
658	0.247727712
659	0.2477250527
660	0.2477204308
661	0.2477175867
662	0.2477086274
663	0.247706036
664	0.2477020688
665	0.2476991406
666	0.247692772
667	0.2476860534
668	0.2476785602
669	0.2476719292
670	0.2476696689
671	0.2476652752
672	0.2476600764
673	0.2476500148
674	0.2476414556
675	0.2476370912
676	0.2476349839
677	0.2476318922
678	0.2476298666
679	0.2476266922
680	0.2476229367
681	0.2476178604
682	0.2476133479
683	0.2476084711
684	0.247598459
685	0.2475963199
686	0.247586926
687	0.2475851705
688	0.2475796373
689	0.2475705083
690	0.247568567
691	0.2475666664
692	0.2475614427
693	0.2475559242
694	0.2475518516
695	0.2475483425
696	0.2475391288
697	0.2475296109
698	0.2475277664
699	0.2475182949
700	0.2475148705
701	0.2475107075
702	0.2475018587
703	0.2475001117
704	0.2474943937
705	0.2474852877
706	0.2474795544
707	0.2474772121
708	0.2474675604
709	0.2474642305
710	0.2474614694
711	0.2474563891
712	0.2474485348
713	0.2474464081
714	0.2474432472
715	0.2474412266
716	0.2474390112
717	0.247430829
718	0.2474242252
719	0.2474223503
720	0.2474171
721	0.247407463
722	0.2474008428
723	0.2473957667
724	0.2473874594
725	0.2473832423
726	0.2473814386
727	0.2473769833
728	0.2473729336
729	0.2473665118
730	0.2473604806
731	0.2473556351
732	0.2473518503
733	0.2473461875
734	0.2473426742
735	0.2473374039
736	0.2473339281
737	0.2473311468
738	0.2473279516
739	0.2473237723
740	0.2473201337
741	0.2473163017
742	0.2473127138
743	0.2473093973
744	0.2473060687
745	0.2473027234
746	0.2472997552
747	0.2472953504
748	0.2472923016
749	0.2472882008
750	0.2472853703
751	0.2472826003
752	0.2472805026
753	0.2472772853
754	0.2472756046
755	0.2472726639
756	0.2472693883
757	0.2472666822
758	0.2472641438
759	0.2472610642
760	0.2472585846
761	0.2472570976
762	0.2472521994
763	0.247249868
764	0.2472476758
765	0.2472463188
766	0.247240815
767	0.2472387819
768	0.2472354362
769	0.2472320624
770	0.2472268844
771	0.2472248117
772	0.2472229089
773	0.2472211143
774	0.2472192959
775	0.2472144241
776	0.2472127527
777	0.2472077659
778	0.2472065838
779	0.247200795
780	0.2471996741
781	0.2471952875
782	0.2471920543
783	0.2471876004
784	0.2471843237
785	0.2471817562
786	0.2471773284
787	0.2471744157
788	0.2471671845
789	0.2471608254
790	0.2471574332
791	0.2471558872
792	0.247151204
793	0.2471481428
794	0.2471452223
795	0.2471405309
796	0.2471365261
797	0.2471283471
798	0.2471273084
799	0.2471225427
800	0.2471184053
801	0.247115203
802	0.2471134132
803	0.247109333
804	0.2471054156
805	0.247102799
806	0.247098991
807	0.2470969845
808	0.2470954034
809	0.2470874158
810	0.2470840848
811	0.2470831126
812	0.2470787275
813	0.2470710963
814	0.2470685034
815	0.2470612813
816	0.2470582212
817	0.2470546772
818	0.2470502444
819	0.2470448192
820	0.2470413832
821	0.2470390547
822	0.2470324165
823	0.2470277213
824	0.2470245944
825	0.2470213827
826	0.2470186082
827	0.2470159919
828	0.2470114692
829	0.2470072525
830	0.2470046605
831	0.2470001058
832	0.2469967688
833	0.2469928368
834	0.2469904024
835	0.2469892595
836	0.2469872699
837	0.2469833168
838	0.2469804678
839	0.246976117
840	0.2469691523
841	0.2469631017
842	0.2469573547
843	0.2469545699
844	0.246947296
845	0.2469407221
846	0.2469370592
847	0.246931293
848	0.2469284319
849	0.2469241544
850	0.2469204551
851	0.246914667
852	0.2469107895
853	0.2469073005
854	0.2469007332
855	0.2468977271
856	0.2468933363
857	0.2468892708
858	0.2468879002
859	0.2468812373
860	0.2468799267
861	0.2468765868
862	0.2468710647
863	0.2468677204
864	0.2468646114
865	0.2468588083
866	0.2468560842
867	0.2468536392
868	0.246851034
869	0.2468460817
870	0.2468434308
871	0.2468406858
872	0.2468369725
873	0.246834117
874	0.2468295214
875	0.2468237155
876	0.2468190706
877	0.2468119417
878	0.2468079457
879	0.2468038208
880	0.2468029574
881	0.2467976301
882	0.2467924228
883	0.2467908452
884	0.2467842258
885	0.2467826474
886	0.2467782003
887	0.2467740078
888	0.2467710675
889	0.2467663732
890	0.2467619312
891	0.2467590204
892	0.246752343
893	0.2467485373
894	0.2467457084
895	0.246742565
896	0.2467351148
897	0.2467309564
898	0.246720967
899	0.2467172128
900	0.2467123394
901	0.2467104866
902	0.2467061364
903	0.246702068
904	0.2466969593
905	0.2466933006
906	0.2466861136
907	0.2466824882
908	0.2466765097
909	0.2466745153
910	0.2466710004
911	0.246668325
912	0.2466647288
913	0.246661116
914	0.2466585067
915	0.2466526943
916	0.2466468218
917	0.2466455464
918	0.2466434895
919	0.2466354805
920	0.2466288808
921	0.2466270699
922	0.2466244612
923	0.2466210343
924	0.2466190801
925	0.2466132897
926	0.2466062409
927	0.2466052531
928	0.2466027527
929	0.2465974041
930	0.2465883386
931	0.2465868792
932	0.2465844034
933	0.2465796403
934	0.2465725017
935	0.2465688273
936	0.2465654619
937	0.2465623903
938	0.2465570321
939	0.2465549759
940	0.2465507944
941	0.246544714
942	0.2465367733
943	0.2465331197
944	0.2465311349
945	0.2465277501
946	0.2465250736
947	0.2465218469
948	0.2465184298
949	0.2465146231
950	0.2465089895
951	0.2465026754
952	0.2465006737
953	0.2464976017
954	0.2464936747
955	0.2464924068
956	0.2464876761
957	0.2464838918
958	0.2464789672
959	0.24647178
960	0.2464685799
961	0.2464640649
962	0.2464583476
963	0.2464518372
964	0.2464448417
965	0.2464394281
966	0.2464362474
967	0.2464306809
968	0.24642543
969	0.2464231577
970	0.2464196901
971	0.2464151214
972	0.2464124744
973	0.2464078014
974	0.2464041522
975	0.2464004071
976	0.2463972894
977	0.2463942079
978	0.2463917122
979	0.2463859834
980	0.2463830399
981	0.2463764753
982	0.2463705452
983	0.2463657565
984	0.2463588746
985	0.2463568645
986	0.2463535198
987	0.2463502393
988	0.2463479466
989	0.2463409362
990	0.2463358467
991	0.2463310336
992	0.2463247255
993	0.2463217295
994	0.246317393
995	0.2463145204
996	0.2463110381
997	0.246307277
998	0.2463030996
999	0.2462994653
